路線番号,pattern_id,n_speeds,max_run
311,5378,4,4
311,5379,4,4
311,5380,3,3
311,5381,2,2
311,5382,1,1
311,5383,1,1
311,5467,1,1
311,5468,1,1
311,5469,1,1
311,5470,2,2
311,5471,2,2
311,5472,2,2
311,5473,3,3
311,5474,3,3
311,5475,4,4
311,5476,4,4
311,5477,4,4
311,5478,4,4
311,5479,4,4
311,5480,4,4
311,5481,3,3
311,5482,2,2
311,5483,1,1
311,5484,1,1
311,5571,1,1
311,5572,1,1
311,5573,1,1
311,5574,2,2
311,5575,2,2
311,5576,3,3
311,5577,3,3
311,5578,3,3
311,5579,3,3
311,5580,3,3
311,5581,3,3
311,5582,2,2
311,5583,1,1
311,5672,1,1
311,5673,1,1
311,5674,1,1
311,5675,2,2
311,5676,2,2
311,5677,3,3
311,5678,3,3
311,5679,3,3
311,5680,3,3
311,5681,3,3
311,5682,3,3
311,5683,2,2
311,5684,1,1
311,5776,1,1
311,5777,1,1
311,5778,2,2
311,5779,2,2
311,5780,2,2
311,5781,2,2
311,5782,2,2
311,5783,2,2
311,5784,1,1
311,5877,1,1
311,5878,1,1
311,5879,2,2
311,5880,2,2
311,5881,2,2
311,5882,2,2
311,5883,2,2
311,5884,2,2
311,5885,1,1
311,5980,1,1
311,5981,1,1
311,5982,1,1
311,5983,1,1
311,5984,1,1
311,5985,1,1
311,6081,1,1
311,6082,1,1
311,6083,1,1
311,6084,1,1
311,6085,1,1
311,6086,1,1
311,6181,1,1
311,6182,1,1
311,6183,1,1
311,6184,1,1
311,6185,1,1
311,6186,1,1
311,6281,1,1
311,6282,1,1
311,6283,1,1
311,6284,1,1
311,6285,1,1
311,6286,1,1
311,6381,1,1
311,6382,1,1
311,6383,1,1
311,6384,1,1
311,6385,1,1
311,6386,1,1
311,6481,1,1
311,6482,1,1
311,6483,1,1
311,6484,1,1
311,6485,1,1
311,6486,1,1
311,6581,1,1
311,6582,1,1
311,6583,1,1
311,6584,1,1
311,6585,1,1
311,6586,1,1
311,6681,1,1
311,6682,1,1
311,6683,1,1
311,6684,1,1
311,6685,1,1
311,6686,1,1
311,6781,1,1
311,6782,1,1
311,6783,1,1
311,6784,1,1
311,6785,1,1
311,6786,1,1
311,6881,1,1
311,6882,1,1
311,6883,1,1
311,6884,1,1
311,6885,1,1
311,6886,1,1
311,6981,1,1
311,6982,1,1
311,6983,1,1
311,6984,1,1
311,6985,1,1
311,6986,1,1
311,7081,1,1
311,7082,1,1
311,7083,1,1
311,7084,1,1
311,7085,1,1
311,7086,1,1
311,7181,1,1
311,7182,1,1
311,7183,1,1
311,7184,1,1
311,7185,1,1
311,7186,1,1
311,7281,1,1
311,7282,1,1
311,7283,1,1
311,7284,1,1
311,7285,1,1
311,7286,1,1
311,7381,1,1
311,7382,1,1
311,7383,1,1
311,7384,1,1
311,7385,1,1
311,7386,1,1
311,7481,1,1
311,7482,1,1
311,7483,1,1
311,7484,1,1
311,7485,1,1
311,7486,1,1
311,7581,1,1
311,7582,1,1
311,7583,1,1
311,7584,1,1
311,7585,1,1
311,7586,1,1
311,13529,1,1
311,13530,1,1
311,13630,1,1
311,13631,1,1
311,13729,1,1
311,13730,1,1
311,13731,2,2
311,13732,2,2
311,13733,1,1
311,13734,1,1
311,13735,1,1
311,13830,1,1
311,13831,1,1
311,13832,2,2
311,13833,2,2
311,13834,1,1
311,13835,1,1
311,13836,1,1
311,13931,1,1
311,13932,1,1
311,13933,2,2
311,13934,2,2
311,13935,1,1
311,13936,1,1
311,13937,1,1
311,14032,1,1
311,14033,1,1
311,14034,2,2
311,14035,2,2
311,14036,1,1
311,14037,1,1
