route_id,V_kmh,FTT_s_per_veh,TT_s_per_veh
D10_334,35.0,32.57142857142857,60.0
D10_334,37.5,30.4,60.0
D10_334,40.0,28.5,57.0
D10_334,42.5,26.823529411764703,53.64705882352921
D10_334,45.0,25.33333333333333,50.66666666666642
D10_334,47.5,24.0,47.9999999999996
D10_334,50.0,22.8,45.59999999999984
D10_H01,10.0,180.0,
D10_H01,12.5,144.0,
D10_H01,15.0,120.0,
D10_H01,17.5,102.85714285714286,
D10_H01,20.0,90.0,132.0
D10_H01,22.5,80.0,123.99999999999952
D10_H01,25.0,72.0,108.0
D10_H01,27.5,65.45454545454545,94.90909090909092
D10_H01,30.0,59.99999999999999,88.0
D10_H01,32.5,55.384615384615394,84.9230769230769
D10_H01,35.0,51.42857142857143,82.28571428571416
D10_H01,37.5,48.0,80.0
D10_H01,40.0,45.0,78.0
D10_H01,42.5,42.35294117647059,72.70588235294119
D10_H01,45.0,40.0,68.0
D10_H01,47.5,37.89473684210526,63.78947368421048
D10_H01,50.0,36.0,60.0
D10_H02,10.0,156.0,
D10_H02,12.5,124.8,
D10_H02,15.0,104.0,
D10_H02,17.5,89.14285714285715,
D10_H02,20.0,78.0,120.0
D10_H02,22.5,69.33333333333333,102.6666666666666
D10_H02,25.0,62.4,92.83199999999988
D10_H02,27.5,56.72727272727273,88.7563636363636
D10_H02,30.0,51.99999999999999,85.35999999999981
D10_H02,32.5,48.0,82.48615384615384
D10_H02,35.0,44.57142857142858,77.14285714285712
D10_H02,37.5,41.6,71.19999999999963
D10_H02,40.0,39.0,66.0
D10_H02,42.5,36.70588235294117,61.41176470588208
D10_H02,45.0,34.666666666666664,60.0
D10_H02,47.5,32.84210526315789,60.0
D10_H02,50.0,31.2,60.0
D10_H03,10.0,204.0,
D10_H03,12.5,163.2,
D10_H03,15.0,135.99999999999997,
D10_H03,17.5,116.57142857142856,
D10_H03,20.0,102.0,156.0
D10_H03,22.5,90.66666666666666,133.3333333333331
D10_H03,25.0,81.6,125.1840030517576
D10_H03,27.5,74.18181818181819,112.3636363636362
D10_H03,30.0,67.99999999999999,100.0
D10_H03,32.5,62.76923076923077,89.53846153846126
D10_H03,35.0,58.285714285714285,84.54857142857145
D10_H03,37.5,54.4,82.1120000000001
D10_H03,40.0,51.0,79.98
D10_H03,42.5,48.0,78.09882352941155
D10_H03,45.0,45.33333333333333,76.42666666666665
D10_H03,47.5,42.94736842105263,73.89473684210517
D10_H03,50.0,40.8,69.59999999999991
D10_H04,10.0,184.08,
D10_H04,12.5,147.26399999999998,
D10_H04,15.0,122.71999999999998,
D10_H04,17.5,105.18857142857144,
D10_H04,20.0,92.04,136.08000309944146
D10_H04,22.5,81.81333333333333,127.14666666666652
D10_H04,25.0,73.63199999999999,111.26399999999995
D10_H04,27.5,66.93818181818182,97.87636363636362
D10_H04,30.0,61.35999999999999,86.71999999999954
D10_H04,32.5,56.64,82.48615384615384
D10_H04,35.0,52.59428571428572,80.02285714285702
D10_H04,37.5,49.088,77.88799999999998
D10_H04,40.0,46.02,76.02000000000004
