scenario,timeslot,count_mean,count_std
no07,2022/10/18 17:30:00,9507.473684210527,97.36664294251253
no07,2022/10/18 17:45:00,9885.78947368421,142.2718754698469
no07,2022/10/18 18:00:00,10060.578947368422,139.42433861715264
no07,2022/10/18 18:15:00,9304.368421052632,111.17264378050133
no07,2022/10/18 18:30:00,8715.0,131.4517232886491
no07,2022/10/18 18:45:00,8014.894736842105,132.65028991752976
no08,2022/10/18 06:30:00,6848.736842105263,127.14901236356206
no08,2022/10/18 06:45:00,8033.736842105263,136.59585242819344
no08,2022/10/18 07:00:00,7966.263157894737,134.92337006417276
no08,2022/10/18 07:15:00,9368.947368421053,101.41470071181905
no08,2022/10/18 07:30:00,10252.473684210527,106.82715448645305
no08,2022/10/18 07:45:00,10471.631578947368,160.21555290237234
no08,2022/10/18 08:00:00,11055.473684210527,167.36764867966966
no08,2022/10/18 08:15:00,11021.947368421053,122.05029641013267
no08,2022/10/18 08:30:00,11523.684210526315,149.2994949130316
no08,2022/10/18 08:45:00,10561.315789473685,105.62146910946697
no08,2022/10/18 09:00:00,9489.263157894737,92.36692656360823
no08,2022/10/18 09:15:00,8886.157894736842,94.95862441546385
no08,2022/10/18 09:30:00,9295.0,136.33944566575164
no08,2022/10/18 09:45:00,8950.78947368421,112.0578119381878
no08,2022/10/18 10:00:00,9565.21052631579,134.12166075262016
no08,2022/10/18 10:15:00,8778.157894736842,120.76711434174796
no08,2022/10/18 10:30:00,8396.736842105263,126.2162351351676
no08,2022/10/18 10:45:00,8280.894736842105,97.78087448578405
no08,2022/10/18 11:00:00,8862.0,87.2359507950198
no08,2022/10/18 11:15:00,9415.421052631578,161.00701012670717
no08,2022/10/18 11:30:00,8386.894736842105,144.9957450474716
no08,2022/10/18 11:45:00,8429.368421052632,110.60902641803769
no08,2022/10/18 12:00:00,8784.631578947368,119.99639370799414
no08,2022/10/18 12:15:00,9006.368421052632,98.05169301406264
no08,2022/10/18 12:30:00,8724.578947368422,158.77598327674463
no08,2022/10/18 12:45:00,8550.105263157895,123.87264729769032
no08,2022/10/18 13:00:00,8687.473684210527,98.84464152342653
no08,2022/10/18 13:15:00,8239.894736842105,127.03669405894843
no08,2022/10/18 13:30:00,8248.578947368422,122.84738309041643
no08,2022/10/18 13:45:00,7385.473684210527,107.9538833746733
no08,2022/10/18 14:00:00,8270.684210526315,118.71349854520385
no08,2022/10/18 14:15:00,8464.842105263158,177.73615375290763
no08,2022/10/18 14:30:00,8561.473684210527,125.22085751940372
