scenario,link_id,slot_code,HHMM,TTT_base,TTT_scen,TTT_diff
no08,533967_00532_11497_1,730,07:30,1075.8855,1059.4463157894736,-16.43918421052649
no08,533967_00532_11497_1,745,07:45,1208.8795,1232.3363157894737,23.456815789473694
no08,533967_00532_11497_1,800,08:00,1385.928,1383.5378947368422,-2.3901052631579205
no08,533967_00532_11497_1,815,08:15,2380.6345,2419.478947368421,38.84444736842079
no08,533967_00532_11497_1,830,08:30,1969.3685,2098.922105263158,129.5536052631578
no08,533967_00532_11497_1,845,08:45,1264.522,1264.6463157894736,0.12431578947371236
no08,533967_00532_11497_1,900,09:00,1120.1405,1111.1536842105263,-8.986815789473667
no08,533967_00532_11497_1,915,09:15,884.6494999999999,895.11,10.460500000000138
no08,533967_00532_11497_1,930,09:30,1251.838,1253.1784210526316,1.3404210526316547
no08,533967_00532_11497_1,945,09:45,1176.1219999999998,1180.9984210526316,4.876421052631713
no08,533967_00532_11497_1,1000,10:00,1289.2905,1307.8615789473683,18.571078947368278
no08,533967_00532_11497_1,1015,10:15,1110.1095,1086.0121052631578,-24.09739473684226
no08,533967_00532_11497_1,1030,10:30,1157.0645,1183.852105263158,26.787605263157957
no08,533967_00532_11497_1,1045,10:45,726.3455,719.8678947368421,-6.477605263157898
no08,533967_00532_11497_1,1100,11:00,704.8059999999999,693.471052631579,-11.334947368420899
no08,533967_00532_11497_1,1115,11:15,890.177,900.9994736842104,10.822473684210422
no08,533967_00532_11497_1,1130,11:30,1105.9540000000002,1090.917894736842,-15.036105263158106
no08,533967_00532_11497_1,1145,11:45,803.467,816.1842105263158,12.717210526315853
no08,533967_00532_11497_1,1200,12:00,671.881,667.7589473684211,-4.1220526315788675
no08,533967_00532_11497_1,1215,12:15,718.1165,724.5184210526317,6.401921052631678
no08,533967_00532_11497_1,1230,12:30,661.4984999999999,669.0447368421053,7.5462368421053725
no08,533967_00532_11497_1,1245,12:45,562.0385,546.0947368421052,-15.94376315789475
no08,533967_00532_11497_1,1300,13:00,621.4970000000001,599.1789473684211,-22.318052631579008
no08,533967_00532_11497_1,1315,13:15,461.0445,469.5210526315789,8.476552631578897
no08,533967_00532_11497_1,1330,13:30,449.404,440.1621052631579,-9.241894736842085
no08,533967_00532_11497_1,1345,13:45,526.702,511.5326315789473,-15.169368421052695
no08,533967_00532_11497_1,1400,14:00,554.4215,543.5368421052632,-10.884657894736847
