slot_code,scenario,V_net_mean,TTT_mean,bus_mean,HHMM
1430,no07,28.67597666720333,213577.6005263158,288.2,14:30
1445,no07,27.96056140475599,217255.73894736843,355.55,14:45
1500,no07,26.68382392664058,228405.10894736843,259.9,15:00
1515,no07,26.20459720339004,232828.94000000003,346.45,15:15
1530,no07,26.71676753135779,226094.19947368425,280.8,15:30
1545,no07,27.12614920163773,214168.1915789474,264.6,15:45
1600,no07,24.484547202681835,275703.5747368421,283.1,16:00
1615,no07,24.31550487119807,274371.1605263158,266.8,16:15
1630,no07,23.54968102958901,269460.09789473686,240.25,16:30
1645,no07,24.6767496465855,274942.3384210526,211.35,16:45
1700,no07,23.72899658701459,296253.73421052634,365.3,17:00
1715,no07,25.673356044888,281356.12263157894,295.9,17:15
1730,no07,25.6267790230532,264001.7589473684,286.25,17:30
1745,no07,24.573187500597488,286772.09368421056,265.05,17:45
1800,no07,24.281542072271645,288678.4957894737,330.9,18:00
1815,no07,24.563091521742663,267629.4978947368,294.5,18:15
1830,no07,26.40142314818087,234903.49,239.1,18:30
1845,no07,27.683494430083257,201936.26947368425,300.5,18:45
630,no08,27.721586372039024,169251.28684210527,251.15,06:30
645,no08,25.211126925396776,220302.8,272.25,06:45
700,no08,26.48501980386504,210994.16789473683,275.45,07:00
715,no08,25.92342855022241,256855.99,352.15,07:15
730,no08,24.303588189122447,295864.6710526316,323.75,07:30
745,no08,24.4284281800758,287749.0989473684,418.75,07:45
800,no08,23.26801041540869,329204.63736842107,460.2,08:00
815,no08,24.191378187537413,322309.4157894737,427.6,08:15
830,no08,24.072292584530512,329389.7315789474,396.7,08:30
845,no08,24.090273008770087,310225.61736842105,305.25,08:45
900,no08,25.35259778389202,269984.39,409.65,09:00
915,no08,26.425417888630854,232124.21526315788,232.35,09:15
930,no08,26.278617325888074,246763.71894736844,344.75,09:30
945,no08,27.62162622598941,228883.0536842105,222.55,09:45
1000,no08,25.084536352890765,262808.08157894737,312.3,10:00
1015,no08,24.03598249261058,261839.81210526315,201.25,10:15
1030,no08,27.23604143257276,219586.5747368421,320.15,10:30
1045,no08,28.644446653293045,205980.8178947369,294.2,10:45
1100,no08,27.122482370026784,231039.3805263158,205.7,11:00
1115,no08,26.66730683484565,241599.92789473684,226.4,11:15
1130,no08,27.742324005413717,212466.93157894735,247.2,11:30
1145,no08,28.00866856509697,216769.17263157893,249.25,11:45
1200,no08,27.504044387859352,224542.0910526316,224.65,12:00
1215,no08,27.829527384295066,232847.2115789474,241.6,12:15
1230,no08,27.677217984548108,215726.73157894737,276.85,12:30
1245,no08,28.57724407169864,215784.7105263158,309.1,12:45
1300,no08,28.509080092368137,220363.15736842103,275.2,13:00
1315,no08,28.646336235579025,209205.23,240.7,13:15
1330,no08,27.98987196442856,207469.05157894737,262.4,13:30
1345,no08,27.93524546798426,189590.3510526316,209.6,13:45
1400,no08,27.96507582543972,207629.2157894737,310.75,14:00
1415,no08,28.13124384088422,219356.6610526316,224.45,14:15
1430,no08,28.67588658607489,213100.1110526316,288.2,14:30
1445,no08,28.177437126232768,215815.3310526316,355.55,14:45
1500,no08,26.77051552350935,226954.8047368421,259.9,15:00
1515,no08,26.362275059183457,232779.6168421053,346.45,15:15
1530,no08,26.87967294551221,223090.64736842105,280.8,15:30
1545,no08,27.03476042876506,215863.5268421053,264.6,15:45
1600,no08,24.348851653490826,276132.0547368421,283.1,16:00
1615,no08,24.32613787568273,274099.8547368421,266.8,16:15
1630,no08,23.557020266141667,270782.57368421054,240.25,16:30
1645,no08,24.45617614408738,276768.6626315789,211.35,16:45
1700,no08,23.342933619224773,301286.7694736842,365.3,17:00
1715,no08,25.79611588803808,280750.9563157895,295.9,17:15
1730,no08,25.769034350478265,262044.53789473683,286.25,17:30
1745,no08,24.726427617946904,285204.64157894737,265.05,17:45
1800,no08,24.800789406275527,284404.68631578947,330.9,18:00
1815,no08,25.257805607003764,262268.2578947369,294.5,18:15
1830,no08,26.87490678497597,227220.32842105263,239.1,18:30
1845,no08,27.70692792096651,200506.7394736842,300.5,18:45
