route_id,V_kmh,Dpillar,simulation_delay
D30_334,50.0,24.239999999999995,32.400001525878906
D30_H01,10.0,1.2656542482858378e-13,
D30_H01,12.5,23.999999995680056,
D30_H01,15.0,1.9984014443252815e-14,
D30_H01,17.5,26.914285720342864,
D30_H01,20.0,34.80000000000003,42.0
D30_H01,22.5,25.199999992799967,28.0
D30_H01,25.0,23.999999999999936,24.0
D30_H01,27.5,16.363636359272807,16.363636016845703
D30_H01,30.0,1.9984014443252815e-14,0.0
D30_H01,32.5,13.846153844307594,13.84615421295166
D30_H01,35.0,25.714285712571357,25.714284896850582
D30_H01,37.5,24.000000000000043,36.0
D30_H01,40.0,28.19999999999999,39.0
D30_H01,42.5,26.6117647133647,41.64706039428711
D30_H01,45.0,25.199999992799995,44.0
D30_H01,47.5,30.315789479368377,46.105262756347656
D30_H01,50.0,35.99999999999997,48.0
D30_H02,10.0,21.085714287300554,
D30_H02,12.5,14.399999998400098,
D30_H02,15.0,13.727999998442368,
D30_H02,17.5,30.82089795615155,
D30_H02,20.0,33.60000000000006,42.0
D30_H02,22.5,27.99999999885716,28.0
D30_H02,25.0,7.200000000000066,7.199999809265137
D30_H02,27.5,9.818181820363575,9.818181991577148
D30_H02,30.0,23.999999999999982,24.0
D30_H02,32.5,24.00000000000009,28.615385055541992
D30_H02,35.0,21.709714287428568,32.57143020629883
D30_H02,37.5,20.3424,36.0
D30_H02,40.0,26.99999999999996,39.0
D30_H02,42.5,32.11764705204705,41.64706039428711
D30_H02,45.0,35.59999999249146,44.0
D30_H02,47.5,36.02273684245534,46.105262756347656
D30_H02,50.0,36.20160000000002,45.59999847412109
D30_H03,10.0,17.97599999695314,
D30_H03,12.5,35.361627017714554,
D30_H03,15.0,15.976525328097726,
D30_H03,17.5,10.285714282840283,
D30_H03,20.0,37.30799999999997,53.880001068115234
D30_H03,22.5,32.655999996800006,44.0
D30_H03,25.0,17.750400000000013,28.799999237060547
D30_H03,27.5,24.248727269097397,25.003637313842773
D30_H03,30.0,23.999999999999947,24.0
D30_H03,32.5,8.307692311384663,8.307692527770996
D30_H03,35.0,5.142857140986989,5.142857074737549
D30_H03,37.5,16.799999999999976,16.799999237060547
D30_H03,40.0,26.99999999999997,27.0
D30_H03,42.5,24.000000000000007,36.0
D30_H03,45.0,31.999999995999985,44.0
D30_H03,47.5,31.56126315018945,46.105262756347656
D30_H03,50.0,30.043199999999963,48.0
D30_H04,10.0,20.376000005171143,
D30_H04,12.5,21.79199999537213,
D30_H04,15.0,10.149995718684774,
D30_H04,17.5,32.43428571125352,
D30_H04,20.0,25.188000000000013,36.0
D30_H04,22.5,24.511999995999982,32.0
D30_H04,25.0,21.3504,21.600000381469727
