scenario,timestr,slot_code,hhmm,dist_m_mean,dist_m_std,n_runs
no07,2022/10/18 08:00:00,0800,08:00,2140370.010526316,27400.829522315467,19
no07,2022/10/18 08:15:00,0815,08:15,2170239.6842105263,23325.42801356153,19
no07,2022/10/18 08:30:00,0830,08:30,2214505.415789474,31098.093288518627,19
no07,2022/10/18 08:45:00,0845,08:45,2096936.3210526316,22380.521289445176,19
no07,2022/10/18 09:00:00,0900,09:00,1911574.4736842106,23896.347863541374,19
no07,2022/10/18 09:15:00,0915,09:15,1722031.494736842,19728.577054856636,19
no07,2022/10/18 09:30:00,0930,09:30,1807176.3736842107,21611.216743185374,19
no07,2022/10/18 09:45:00,0945,09:45,1763245.2263157896,25417.892092204154,19
no07,2022/10/18 10:00:00,1000,10:00,1838844.8263157897,20590.42768723264,19
no07,2022/10/18 10:15:00,1015,10:15,1751445.7684210527,18816.128877347415,19
no07,2022/10/18 10:30:00,1030,10:30,1676277.2052631578,22642.723069465963,19
no07,2022/10/18 10:45:00,1045,10:45,1645119.7578947367,14613.39249502605,19
no07,2022/10/18 11:00:00,1100,11:00,1756677.9473684211,19473.24779458472,19
no07,2022/10/18 11:15:00,1115,11:15,1792624.6842105263,25460.666449321874,19
no07,2022/10/18 11:30:00,1130,11:30,1641615.8368421053,24617.351367688472,19
no07,2022/10/18 11:45:00,1145,11:45,1703154.194736842,27618.08011366773,19
no07,2022/10/18 12:00:00,1200,12:00,1736699.9368421054,26812.44822876558,19
no07,2022/10/18 12:15:00,1215,12:15,1801725.4736842106,25169.60898601157,19
no07,2022/10/18 12:30:00,1230,12:30,1666719.0263157894,29404.998223201634,19
no07,2022/10/18 12:45:00,1245,12:45,1719627.8421052631,31258.081322583406,19
no07,2022/10/18 13:00:00,1300,13:00,1763824.6368421053,24421.309889320706,19
no07,2022/10/18 13:15:00,1315,13:15,1670161.3,30907.257674461463,19
no07,2022/10/18 13:30:00,1330,13:30,1629484.994736842,35840.27763630178,19
no07,2022/10/18 13:45:00,1345,13:45,1475529.647368421,21701.48185983233,19
no07,2022/10/18 14:00:00,1400,14:00,1621455.1894736842,30656.69123261845,19
no07,2022/10/18 14:15:00,1415,14:15,1721648.1842105263,41120.38841645708,19
no07,2022/10/18 14:30:00,1430,14:30,1711127.0999999999,30123.926556845578,19
no07,2022/10/18 14:45:00,1445,14:45,1697154.0157894737,32568.767702701265,19
no07,2022/10/18 15:00:00,1500,15:00,1702580.6631578947,37291.95316106279,19
no07,2022/10/18 15:15:00,1515,15:15,1704668.8105263158,29301.871244093614,19
no07,2022/10/18 15:30:00,1530,15:30,1687462.9631578948,22345.834427328235,19
no07,2022/10/18 15:45:00,1545,15:45,1623069.9894736842,20357.46566561148,19
no07,2022/10/18 16:00:00,1600,16:00,1886444.1368421053,25092.718622700293,19
no07,2022/10/18 16:15:00,1615,16:15,1863569.6421052634,29248.715380913494,19
no07,2022/10/18 16:30:00,1630,16:30,1772327.6210526314,30386.751646392346,19
no07,2022/10/18 16:45:00,1645,16:45,1894825.5894736843,31827.755528589543,19
no07,2022/10/18 17:00:00,1700,17:00,1963202.6315789474,28400.549982410386,19
