scenario,timestr,slot_code,HHMM,V_net_rel,TTT_rel,flow_rel,V_net_mean,TTT_mean,flow_veh_mean
no03,2022/10/18 17:45:00,1745,17:45,0.9705990274288108,1.0251018245441805,0.9971324307988747,25.242959772057908,279334.073,10970.8
no03,2022/10/18 18:00:00,1800,18:00,0.9677695139484677,1.0298480642447676,0.9970477795913271,25.249655397130933,278721.9925,11178.8
no03,2022/10/18 18:15:00,1815,18:15,0.951008137696082,1.0489217088580538,0.9987516636389248,25.89753155929847,255093.255,10280.85
no03,2022/10/18 18:30:00,1830,18:30,0.9750245621463814,1.0404607795756375,1.009354917003472,27.26611630943537,223919.162,9564.95
no03,2022/10/18 18:45:00,1845,18:45,0.9881912001202522,1.013756760396549,1.0026901512148156,28.38836979608829,196131.12,8852.25
no04,2022/10/18 06:30:00,630,06:30,0.9940333882495005,1.0029996434334483,0.9978231206168883,27.81107792298412,169358.565,7861.1
no04,2022/10/18 06:45:00,645,06:45,0.9801874828032331,1.0167285987705768,0.9971767237793073,25.479233301086342,218067.98850000004,8988.9
no04,2022/10/18 07:00:00,700,07:00,0.9629128996560664,1.037426371120863,0.9989062824259217,26.85679279466885,208315.248,8904.8
no04,2022/10/18 07:15:00,715,07:15,0.9601157656080074,1.037363266361096,0.9972273873566971,26.40098783854246,252533.3935,10538.35
no04,2022/10/18 07:30:00,730,07:30,0.9628266362654546,1.0417977514455168,1.0038742474681066,24.868262579089752,288975.6475,11414.0
no04,2022/10/18 07:45:00,745,07:45,0.9537534049932431,1.0451303375150107,0.9971043049903621,24.939203302888902,281603.6665,11638.7
no04,2022/10/18 08:00:00,800,08:00,0.9643719617343999,1.0366892638265874,0.999553770638108,23.7915388939819,322397.2065,12320.0
no04,2022/10/18 08:15:00,815,08:15,0.9794981703285125,1.0279890384059316,1.0072463171416572,24.513061266132823,317255.9925,12232.1
no04,2022/10/18 08:30:00,830,08:30,0.993775986833592,1.0065149309062587,1.0000622650467377,24.56213180252533,323181.1585,12849.1
no04,2022/10/18 08:45:00,845,08:45,0.9959260277938201,1.0044452161678161,1.0012534801127277,24.87221154034335,300614.365,11742.05
