slot_code,scenario,V_net_mean,TTT_mean,bus_mean,HHMM
1030,no07,26.94860378155742,222607.75444444444,320.15,10:30
1045,no07,28.636409919458213,205758.5522222222,294.2,10:45
1100,no07,27.108859913621675,231699.49277777775,205.7,11:00
1115,no07,26.46779432741277,242471.69722222225,226.4,11:15
1130,no07,27.7100168562266,212074.83222222223,247.2,11:30
1145,no07,28.01954362514557,217291.505,249.25,11:45
1200,no07,27.440596938986044,226368.47388888887,224.65,12:00
1215,no07,27.770979950952107,232461.84166666667,241.6,12:15
1230,no07,27.596156760396923,215974.13666666663,276.85,12:30
1245,no07,28.51811658802372,215780.49277777775,309.1,12:45
1300,no07,28.382813550052656,222300.445,275.2,13:00
1315,no07,28.595393655083853,209433.01555555555,240.7,13:15
1330,no07,27.995726784950712,207889.64388888888,262.4,13:30
1345,no07,27.782003033751568,190246.97333333333,209.6,13:45
1400,no07,27.888558778514376,207979.28166666665,310.75,14:00
1415,no07,27.995994985289453,220292.53166666665,224.45,14:15
1430,no07,28.69665946378587,213340.81333333332,288.2,14:30
1445,no07,27.9521198896434,217186.6261111111,355.55,14:45
1500,no07,26.74308028284837,228367.34277777775,259.9,15:00
1515,no07,26.25789609097085,231844.45166666663,346.45,15:15
1530,no07,26.684790272239773,226267.51277777777,280.8,15:30
1545,no07,27.09063550436996,214499.0294444445,264.6,15:45
1600,no07,24.506590587335307,275701.42055555555,283.1,16:00
1615,no07,24.34322598174642,273830.10055555555,266.8,16:15
1630,no07,23.520272047766188,269609.1694444444,240.25,16:30
1645,no07,24.64915764847618,275397.0188888889,211.35,16:45
1700,no07,23.738337343820596,296296.9738888889,365.3,17:00
1715,no07,25.710415580262254,280991.4344444445,295.9,17:15
1730,no07,25.67173089942609,263556.8188888889,286.25,17:30
1745,no07,24.592054505501864,286405.0055555555,265.05,17:45
1800,no07,24.27604352516286,288571.8983333333,330.9,18:00
1815,no07,24.58959248195617,267412.9955555556,294.5,18:15
1830,no07,26.42354121399503,234589.54444444444,239.1,18:30
700,no08,26.48127577118009,210889.32,275.45,07:00
715,no08,25.942543168216403,256651.57,352.15,07:15
730,no08,24.27527812964605,295959.43166666664,323.75,07:30
745,no08,24.472474085423425,287313.4322222222,418.75,07:45
800,no08,23.31395386104465,328580.0205555556,460.2,08:00
815,no08,24.20255323110676,322301.45666666667,427.6,08:15
830,no08,24.0716773218627,328890.9061111111,396.7,08:30
845,no08,24.097048715957516,310618.9505555556,305.25,08:45
900,no08,25.345630866010605,270048.9272222222,409.65,09:00
915,no08,26.414959266575163,232239.01611111112,232.35,09:15
930,no08,26.253873026491053,246822.8294444444,344.75,09:30
945,no08,27.58543997164485,229207.4138888889,222.55,09:45
1000,no08,25.13810186796216,262805.7061111111,312.3,10:00
1015,no08,24.21578029524541,259334.45944444448,201.25,10:15
1030,no08,27.35735702696456,218703.98388888888,320.15,10:30
1045,no08,28.70686935092752,205550.08444444445,294.2,10:45
1100,no08,27.133463079265056,230748.39111111112,205.7,11:00
1115,no08,26.69005801557154,241013.50555555557,226.4,11:15
1130,no08,27.738164596179928,212534.14388888888,247.2,11:30
1145,no08,28.00249356817888,217069.86777777775,249.25,11:45
1200,no08,27.50801698739072,224384.57055555555,224.65,12:00
1215,no08,27.860480966819765,232300.51277777777,241.6,12:15
1230,no08,27.6544864552845,216247.8477777778,276.85,12:30
1245,no08,28.57062868926323,215730.085,309.1,12:45
1300,no08,28.530713835258076,220522.58222222223,275.2,13:00
1315,no08,28.628184412198248,209010.5638888889,240.7,13:15
1330,no08,27.97521828048358,207551.0433333333,262.4,13:30
1345,no08,27.93541858830797,189694.72388888887,209.6,13:45
1400,no08,27.95637260474623,207814.59888888887,310.75,14:00
1415,no08,28.131881130282387,219029.91444444444,224.45,14:15
1430,no08,28.668384438458432,213305.39777777775,288.2,14:30
1445,no08,28.1706036686236,216268.67833333332,355.55,14:45
1500,no08,26.791684576396296,226655.1561111111,259.9,15:00
1515,no08,26.38843095270092,232239.8583333333,346.45,15:15
1530,no08,26.88620731126376,223020.6538888889,280.8,15:30
1545,no08,27.075198334318475,215178.7083333333,264.6,15:45
1600,no08,24.352734781090604,276382.2572222222,283.1,16:00
1615,no08,24.35062765405368,274055.5472222222,266.8,16:15
1630,no08,23.56894406222103,270451.6744444444,240.25,16:30
1645,no08,24.455426679755305,277164.68,211.35,16:45
1700,no08,23.33131474352671,300971.22222222225,365.3,17:00
1715,no08,25.76599519420714,281021.19999999995,295.9,17:15
1730,no08,25.73499904764861,262430.7627777778,286.25,17:30
1745,no08,24.709409977805837,285494.89,265.05,17:45
1800,no08,24.806001368305143,284497.28944444447,330.9,18:00
1815,no08,25.25935332176304,262180.69444444444,294.5,18:15
1830,no08,26.851646818710645,227089.29888888888,239.1,18:30
