scenario,timestr,slot_code,subset,V_net_mean,TTT_mean,flow_kmveh_mean
no07,2022/10/18 09:00:00,0900,all,25.408316551476975,269714.1883333333,1902.8083000000001
no07,2022/10/18 09:15:00,0915,all,26.70053510626867,230591.6588888889,1709.0967666666666
no07,2022/10/18 09:30:00,0930,all,26.257131715324395,246540.61166666666,1795.7776222222224
no07,2022/10/18 09:45:00,0945,all,27.470187519325382,229668.64944444445,1752.1130888888888
no07,2022/10/18 10:00:00,1000,all,24.982836885940827,263381.0572222222,1826.5811722222222
no07,2022/10/18 10:15:00,1015,all,23.921212335587107,262427.2394444444,1739.9124944444443
no07,2022/10/18 10:30:00,1030,all,26.94860378155742,222607.75444444444,1664.83945
no07,2022/10/18 10:45:00,1045,all,28.636409919458213,205758.5522222222,1636.6069166666666
no07,2022/10/18 11:00:00,1100,all,27.108859913621675,231699.49277777778,1744.481161111111
no07,2022/10/18 11:15:00,1115,all,26.467794327412772,242471.69722222222,1781.6140611111111
no07,2022/10/18 11:30:00,1130,all,27.7100168562266,212074.83222222223,1632.1247166666667
no07,2022/10/18 11:45:00,1145,all,28.019543625145566,217291.505,1691.0817277777778
no07,2022/10/18 12:00:00,1200,all,27.440596938986044,226368.47388888887,1725.11455
