route_id,tolerance,start_speed_kmh,end_speed_kmh,width_kmh,n_points,relative_range,min_ttt,max_ttt
D10_331,0.05,25.0,30.0,5.0,3,0.0,60.0,60.0
D10_332,0.05,32.5,37.5,5.0,3,0.0,60.0,60.0
D10_333,0.05,25.0,27.5,2.5,2,0.045000017484029174,87.27272727272728,91.20000152587892
D10_333,0.05,37.5,45.0,7.5,4,0.026666666666664677,60.0,61.59999999999988
D10_333,0.05,40.0,47.5,7.5,4,0.03260869565218106,58.105263157894335,60.0
D10_334,0.05,25.0,27.5,2.5,2,0.031250021855036836,69.81818181818178,72.0000015258789
D10_334,0.05,32.5,37.5,5.0,3,0.0,60.0,60.0
D10_H01,0.05,30.0,32.5,2.5,2,0.03623188405797123,84.9230769230769,88.0
D10_H01,0.05,32.5,35.0,2.5,2,0.03205128205128337,82.28571428571416,84.9230769230769
D10_H01,0.05,35.0,37.5,2.5,2,0.028571428571427047,80.0,82.28571428571416
D10_H01,0.05,37.5,40.0,2.5,2,0.02564102564102564,78.0,80.0
D10_H02,0.05,25.0,27.5,2.5,2,0.04591937069813081,88.7563636363636,92.83199999999988
D10_H02,0.05,27.5,30.0,2.5,2,0.03978870239414005,85.35999999999981,88.7563636363636
D10_H02,0.05,30.0,32.5,2.5,2,0.03484034616532161,82.48615384615384,85.35999999999981
D10_H02,0.05,42.5,50.0,7.5,4,0.0235294117647013,60.0,61.41176470588208
D10_H03,0.05,35.0,37.5,2.5,2,0.029673755706490553,82.1120000000001,84.54857142857145
D10_H03,0.05,37.5,40.0,2.5,2,0.026656664166042638,79.98,82.1120000000001
D10_H03,0.05,40.0,45.0,5.0,3,0.0464933705512913,76.42666666666665,79.98
D10_H03,0.05,45.0,47.5,2.5,2,0.03426400759734192,73.89473684210517,76.42666666666665
D10_H04,0.05,32.5,35.0,2.5,2,0.03078241381583434,80.02285714285702,82.48615384615384
D10_H04,0.05,35.0,37.5,2.5,2,0.027409320342761972,77.88799999999998,80.02285714285702
D10_H04,0.05,37.5,42.5,5.0,3,0.047279169830424725,74.37176470588219,77.88799999999998
D10_H05,0.05,27.5,30.0,2.5,2,0.042766589103747074,90.64,94.51636363636364
D10_H05,0.05,30.0,32.5,2.5,2,0.03754578754578942,87.35999999999984,90.64
D10_H05,0.05,32.5,35.0,2.5,2,0.03325223033252071,84.5485714285714,87.35999999999984
D10_H05,0.05,35.0,37.5,2.5,2,0.033297949606122465,81.82400000000004,84.5485714285714
D10_H05,0.05,47.5,50.0,2.5,2,0.034526315789472524,60.0,62.07157894736835
D10_H06,0.05,30.0,32.5,2.5,2,0.0348403461653211,82.48615384615384,85.35999999999977
D10_H06,0.05,32.5,35.0,2.5,2,0.030782413815831775,80.02285714285722,82.48615384615384
D10_H06,0.05,35.0,37.5,2.5,2,0.027409317826808555,77.88800019073484,80.02285714285722
D10_H06,0.05,37.5,40.0,2.5,2,0.02457248343508086,76.02,77.88800019073484
D10_H06,0.05,40.0,42.5,2.5,2,0.0455825242718473,72.70588235294099,76.02
D10_H07,0.05,27.5,30.0,2.5,2,0.04709941426622721,90.64,94.90909090909084
D10_H07,0.05,30.0,32.5,2.5,2,0.03754578754579026,87.35999999999977,90.64
D10_H07,0.05,32.5,35.0,2.5,2,0.03325223033251935,84.54857142857145,87.35999999999977
D10_H07,0.05,35.0,37.5,2.5,2,0.029673755706490553,82.1120000000001,84.54857142857145
D30_311,0.05,20.0,22.5,2.5,2,0.02272725056025639,176.0000038146973,180.0
D30_311,0.05,22.5,25.0,2.5,2,0.04761907032557913,168.0,176.0000038146973
D30_311,0.05,32.5,35.0,2.5,2,0.04266408753075044,123.9428601946146,129.2307692307692
D30_311,0.05,47.5,50.0,2.5,2,0.02255637240247342,84.00000152587894,85.894736842105
D30_312,0.05,20.0,25.0,5.0,3,0.027397240141047316,175.20000343322755,180.0
D30_312,0.05,27.5,30.0,2.5,2,0.041958041958041876,156.0,162.54545454545453
D30_312,0.05,30.0,32.5,2.5,2,0.036809815950920304,150.46153846153845,156.0
D30_312,0.05,32.5,35.0,2.5,2,0.032579185520361875,145.71428571428572,150.46153846153845
D30_312,0.05,35.0,37.5,2.5,2,0.029055678983555152,141.60000152587887,145.71428571428572
D30_312,0.05,37.5,40.0,2.5,2,0.04656320270704196,135.30000019073486,141.60000152587887
D30_312,0.05,40.0,42.5,2.5,2,0.027747990724974542,131.6470588235294,135.30000019073486
D30_313,0.05,25.0,27.5,2.5,2,4.238551948926923e-09,180.0,180.00000076293935
D30_313,0.05,35.0,37.5,2.5,2,0.02905567343901294,141.60000228881836,145.71428571428575
D30_313,0.05,37.5,40.0,2.5,2,0.026086973107379417,138.0,141.60000228881836
D30_313,0.05,40.0,45.0,5.0,3,0.045454545454545456,132.0,138.0
