case_index,route_id,pattern_group,pattern_id,design_speed_kmh,evaluation_speed_kmh,cycle_length_s,offset_step_s,grid_size_each_axis,number_of_offset_patterns,lambda01_design,lambda12_design,lambda23_design,L01_m,L12_m,L23_m,d_min_s_per_veh,representative_x1_s,representative_x2_s,representative_x3_s,number_of_exact_optima,number_within_0p1s,number_within_0p5s,number_within_1p0s,FTT_s_per_veh,TTT_s_per_veh,runtime_sec,hostname,delay_file,optima_file,array_definition,TTT_ratio_to_route_min,TTT_excess_pct_from_route_min
40,D10_314,basic,314,10.0,22.5,120.0,1.2,100,1000000,0.25,0.3,0.45,83.33333333333333,100.0,150.0,29.33333396911621,0.0,0.0,44.400001525878906,6272,6272,6272,9072,53.33333333333333,82.66666666666663,678.9253280162811,BuiltPC01,results\full_delay\case_0040__D10_314__v22p5_delays.npy,results\optima\case_0040__D10_314__v22p5_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.7222222222222214,72.22222222222214
41,D10_314,basic,314,10.0,25.0,120.0,1.2,100,1000000,0.25,0.3,0.45,83.33333333333333,100.0,150.0,24.0,0.0,2.400000095367432,48.0,462,462,462,462,47.99999999999999,72.0,675.5438892841339,BuiltPC01,results\full_delay\case_0041__D10_314__v25p0_delays.npy,results\optima\case_0041__D10_314__v25p0_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.5,50.0
42,D10_314,basic,314,10.0,27.5,120.0,1.2,100,1000000,0.25,0.3,0.45,83.33333333333333,100.0,150.0,26.18181800842285,109.1999969482422,0.0,34.79999923706055,2070,2070,3006,3024,43.63636363636364,69.81818181818178,675.0294387340546,BuiltPC01,results\full_delay\case_0042__D10_314__v27p5_delays.npy,results\optima\case_0042__D10_314__v27p5_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.454545454545454,45.45454545454539
43,D10_314,basic,314,10.0,30.0,120.0,1.2,100,1000000,0.25,0.3,0.45,83.33333333333333,100.0,150.0,28.0,0.0,0.0,32.400001525878906,8358,8358,8358,11322,40.0,68.0,676.3621847629547,BuiltPC01,results\full_delay\case_0043__D10_314__v30p0_delays.npy,results\optima\case_0043__D10_314__v30p0_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.4166666666666667,41.66666666666667
44,D10_314,basic,314,10.0,32.5,120.0,1.2,100,1000000,0.25,0.3,0.45,83.33333333333333,100.0,150.0,24.923076629638672,0.0,0.0,36.0,440,460,1530,1582,36.92307692307692,61.84615384615383,676.7556524276733,BuiltPC01,results\full_delay\case_0044__D10_314__v32p5_delays.npy,results\optima\case_0044__D10_314__v32p5_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.288461538461538,28.84615384615381
45,D10_314,basic,314,10.0,35.0,120.0,1.2,100,1000000,0.25,0.3,0.45,83.33333333333333,100.0,150.0,25.714284896850582,0.0,0.0,34.79999923706055,1448,1448,1580,2900,34.285714285714285,60.0,680.5426738262177,BuiltPC01,results\full_delay\case_0045__D10_314__v35p0_delays.npy,results\optima\case_0045__D10_314__v35p0_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.25,25.0
46,D10_314,basic,314,10.0,37.5,120.0,1.2,100,1000000,0.25,0.3,0.45,83.33333333333333,100.0,150.0,28.0,0.0,0.0,32.400001525878906,4648,4648,4648,6552,32.0,60.0,677.2173237800598,BuiltPC01,results\full_delay\case_0046__D10_314__v37p5_delays.npy,results\optima\case_0046__D10_314__v37p5_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.25,25.0
47,D10_314,basic,314,10.0,40.0,120.0,1.2,100,1000000,0.25,0.3,0.45,83.33333333333333,100.0,150.0,30.0,0.0,0.0,0.0,38145,38145,39945,44413,30.0,60.0,677.3202021121979,BuiltPC01,results\full_delay\case_0047__D10_314__v40p0_delays.npy,results\optima\case_0047__D10_314__v40p0_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.25,25.0
48,D10_314,basic,314,10.0,42.5,120.0,1.2,100,1000000,0.25,0.3,0.45,83.33333333333333,100.0,150.0,28.235294342041016,0.0,0.0,0.0,25815,26235,29535,30115,28.235294117647054,56.47058823529417,676.1928570270538,BuiltPC01,results\full_delay\case_0048__D10_314__v42p5_delays.npy,results\optima\case_0048__D10_314__v42p5_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.1764705882352953,17.647058823529527
49,D10_314,basic,314,10.0,45.0,120.0,1.2,100,1000000,0.25,0.3,0.45,83.33333333333333,100.0,150.0,26.66666603088379,0.0,0.0,0.0,24513,24513,25415,28265,26.666666666666664,53.333333333333336,675.8973076343536,BuiltPC01,results\full_delay\case_0049__D10_314__v45p0_delays.npy,results\optima\case_0049__D10_314__v45p0_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.1111111111111112,11.111111111111116
50,D10_314,basic,314,10.0,47.5,120.0,1.2,100,1000000,0.25,0.3,0.45,83.33333333333333,100.0,150.0,25.263158798217773,0.0,0.0,0.0,22507,22507,22947,26225,25.26315789473684,50.526315789473465,679.0897557735443,BuiltPC01,results\full_delay\case_0050__D10_314__v47p5_delays.npy,results\optima\case_0050__D10_314__v47p5_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.052631578947364,5.263157894736392
51,D10_314,basic,314,10.0,50.0,120.0,1.2,100,1000000,0.25,0.3,0.45,83.33333333333333,100.0,150.0,24.0,0.0,0.0,0.0,22107,22107,22107,22107,24.0,48.0,676.2572350502014,BuiltPC01,results\full_delay\case_0051__D10_314__v50p0_delays.npy,results\optima\case_0051__D10_314__v50p0_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.0,0.0
52,D10_321,basic,321,10.0,20.0,120.0,1.2,100,1000000,0.25,0.5,0.25,83.33333333333333,166.66666666666666,83.33333333333333,24.0,0.0,27.600000381469727,51.59999847412109,3075,3075,3075,4757,60.0,84.0,679.0327594280243,BuiltPC01,results\full_delay\case_0052__D10_321__v20p0_delays.npy,results\optima\case_0052__D10_321__v20p0_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.75,75.0
53,D10_321,basic,321,10.0,22.5,120.0,1.2,100,1000000,0.25,0.5,0.25,83.33333333333333,166.66666666666666,83.33333333333333,21.33333396911621,0.0,28.799999237060547,52.79999923706055,330,330,638,660,53.33333333333333,74.6666666666667,682.0484054088593,BuiltPC01,results\full_delay\case_0053__D10_321__v22p5_delays.npy,results\optima\case_0053__D10_321__v22p5_optima.npy,"delays[i,j,k] corresponds to x1=grid[i], x2=grid[j], x3=grid[k]",1.5555555555555562,55.55555555555563
