scenario,link_id,slot_code,HHMM,V_base,V_scen,V_diff
no04,533967_00609_11505_1,1330,13:30,29.977421990145217,29.83521660832024,-0.14220538182497577
no04,533967_00609_11505_1,1345,13:45,30.24552053211409,30.155975255189524,-0.08954527692456438
no04,533967_00609_11505_1,1400,14:00,30.654662709014787,30.756206476528824,0.1015437675140376
no04,533967_00609_11505_1,1415,14:15,29.76793682795699,29.94091461152601,0.17297778356902072
no04,533967_00609_11505_1,1430,14:30,30.63730562740628,30.631589070430344,-0.005716556975936982
no04,533967_00609_11505_1,1445,14:45,30.36380557933729,30.42315905861323,0.05935347927594137
no04,533967_00609_11505_1,1500,15:00,29.662802372880712,29.64792747501731,-0.014874897863403902
no04,533967_00609_11505_1,1515,15:15,29.775976623329413,29.7576498619588,-0.018326761370612843
no04,533967_00609_11505_1,1530,15:30,29.66362903225807,29.66362903225807,0.0
no04,533967_00609_11505_1,1545,15:45,29.898080117923826,29.865920143929365,-0.032159973994460245
no04,533967_00609_11505_1,1600,16:00,30.473409433742063,30.528110153723112,0.05470071998104942
no04,533967_00609_11505_1,1615,16:15,30.71169562035796,30.598016381300237,-0.11367923905772415
no04,533967_00609_11505_1,1630,16:30,29.842543014374343,29.781652004831063,-0.06089100954327975
no04,533967_00609_11505_1,1645,16:45,29.411521390957347,29.82137384372172,0.40985245276437254
no04,533967_00609_11505_1,1700,17:00,30.7600154581954,30.703480612667875,-0.0565348455275263
no04,533967_00609_11505_1,1715,17:15,30.433222858126083,30.252097697762657,-0.1811251603634254
no04,533967_00609_11505_1,1730,17:30,29.629462392964324,29.651993011223475,0.02253061825915026
no04,533967_00609_11505_1,1745,17:45,29.59251070876021,29.54971075651767,-0.04279995224253952
no04,533967_00609_11505_1,1800,18:00,30.913033244769277,30.896192655708127,-0.01684058906115027
no04,533967_00609_11505_1,1815,18:15,29.9046494718732,30.015788030927347,0.11113855905414738
no04,533967_00609_11505_1,1830,18:30,30.62153775999221,30.594563873456885,-0.02697388653532684
no04,533967_00609_11505_1,1845,18:45,29.936507548914427,29.984666752893517,0.04815920397908968
no04,533967_00693_01661_0,630,06:30,26.422771236583497,26.397724259441837,-0.02504697714165971
no04,533967_00693_01661_0,645,06:45,27.121072716964683,27.25828270726559,0.13720999030090653
no04,533967_00693_01661_0,700,07:00,23.444547954898013,23.336827612232163,-0.10772034266584996
no04,533967_00693_01661_0,715,07:15,26.244265277100244,26.137627069730257,-0.1066382073699863
no04,533967_00693_01661_0,730,07:30,25.827987471168846,25.87703985209157,0.049052380922724126
no04,533967_00693_01661_0,745,07:45,23.012001961218125,22.91199325426405,-0.10000870695407471
no04,533967_00693_01661_0,800,08:00,25.40657756010741,25.268281612561445,-0.1382959475459664
no04,533967_00693_01661_0,815,08:15,25.559374657744947,25.611655567481296,0.05228090973634991
no04,533967_00693_01661_0,830,08:30,25.77907392039733,26.016732121238935,0.23765820084160438
no04,533967_00693_01661_0,845,08:45,25.703029409642568,25.88294289751834,0.17991348787577266
no04,533967_00693_01661_0,900,09:00,27.65081445515868,27.315763767383867,-0.33505068777481384
no04,533967_00693_01661_0,915,09:15,26.681009358367252,26.756323061267004,0.07531370289975214
no04,533967_00693_01661_0,930,09:30,28.18789671206428,27.977633687092226,-0.21026302497205407
no04,533967_00693_01661_0,945,09:45,25.91559667186629,25.83916676391224,-0.07642990795405069
no04,533967_00693_01661_0,1000,10:00,26.872118673402063,26.935713394038675,0.06359472063661187
no04,533967_00693_01661_0,1015,10:15,24.851118538236527,24.788186205414867,-0.06293233282166
no04,533967_00693_01661_0,1030,10:30,27.150679035669437,27.299421177186105,0.1487421415166672
no04,533967_00693_01661_0,1045,10:45,27.042392993172665,26.96444595985336,-0.07794703331930464
no04,533967_00693_01661_0,1100,11:00,27.237106444640137,26.674631488557527,-0.5624749560826103
no04,533967_00693_01661_0,1115,11:15,26.70356371455215,26.707230171881484,0.0036664573293343494
no04,533967_00693_01661_0,1130,11:30,25.455628068222065,25.45081650329808,-0.004811564923986822
no04,533967_00693_01661_0,1145,11:45,26.06231323057985,25.879156078987386,-0.18315715159246437
