scenario,link_id,slot_code,HHMM,TTT_base,TTT_scen,TTT_diff
no02,533967_00280_13214_1,1715,17:15,1330.7205,1333.7615,3.0410000000001673
no02,533967_00280_13214_1,1730,17:30,1161.3665,1169.1985,7.83199999999988
no02,533967_00280_13214_1,1745,17:45,1263.0405,1252.3825,-10.65800000000013
no02,533967_00280_13214_1,1800,18:00,810.5205,816.749,6.228500000000054
no02,533967_00280_13214_1,1815,18:15,1047.6515,1043.368,-4.283500000000004
no02,533967_00280_13214_1,1830,18:30,714.789,710.479,-4.309999999999945
no02,533967_00280_13214_1,1845,18:45,944.0595,952.4375,8.378000000000043
no02,533967_00285_11494_0,630,06:30,78.451,78.451,0.0
no02,533967_00285_11494_0,645,06:45,66.4585,66.4585,0.0
no02,533967_00285_11494_0,700,07:00,162.998,162.80450000000002,-0.1934999999999718
no02,533967_00285_11494_0,715,07:15,122.813,123.498,0.6850000000000023
no02,533967_00285_11494_0,730,07:30,178.29850000000002,178.2055,-0.09300000000001774
no02,533967_00285_11494_0,745,07:45,255.6145,255.111,-0.5035000000000025
no02,533967_00285_11494_0,800,08:00,208.5065,212.016,3.5095000000000027
no02,533967_00285_11494_0,815,08:15,200.137,198.971,-1.1659999999999968
no02,533967_00285_11494_0,830,08:30,44.303,45.062,0.7590000000000003
no02,533967_00285_11494_0,845,08:45,0.0,0.0,0.0
no02,533967_00285_11494_0,900,09:00,18.0495,17.9995,-0.04999999999999716
no02,533967_00285_11494_0,915,09:15,35.954,38.0135,2.0595
no02,533967_00285_11494_0,930,09:30,182.178,181.122,-1.0559999999999832
no02,533967_00285_11494_0,945,09:45,64.611,62.309000000000005,-2.3019999999999996
no02,533967_00285_11494_0,1000,10:00,136.6855,137.415,0.7295000000000016
no02,533967_00285_11494_0,1015,10:15,44.7065,44.4605,-0.2459999999999951
no02,533967_00285_11494_0,1030,10:30,12.536923076923076,12.613846153846152,0.07692307692307665
no02,533967_00285_11494_0,1045,10:45,38.1005,39.453500000000005,1.3530000000000086
no02,533967_00285_11494_0,1100,11:00,15.248500000000002,16.1495,0.900999999999998
no02,533967_00285_11494_0,1115,11:15,262.9185,265.0165,2.098000000000013
no02,533967_00285_11494_0,1130,11:30,63.84349999999999,60.099,-3.744499999999995
no02,533967_00285_11494_0,1145,11:45,27.801,27.454500000000003,-0.34649999999999537
no02,533967_00285_11494_0,1200,12:00,40.2405,42.24,1.9995000000000047
no02,533967_00285_11494_0,1215,12:15,10.998947368421051,9.684736842105265,-1.3142105263157866
no02,533967_00285_11494_0,1230,12:30,107.896,108.942,1.0459999999999923
no02,533967_00285_11494_0,1245,12:45,62.047,62.191,0.14400000000000546
no02,533967_00285_11494_0,1300,13:00,49.749,51.2495,1.5004999999999953
no02,533967_00285_11494_0,1315,13:15,17.9985,15.348,-2.650499999999999
no02,533967_00285_11494_0,1330,13:30,227.81,235.138,7.328000000000003
no02,533967_00285_11494_0,1345,13:45,111.5185,105.5935,-5.924999999999997
no02,533967_00285_11494_0,1400,14:00,84.503,83.4935,-1.0095000000000027
no02,533967_00285_11494_0,1415,14:15,9.99875,9.683157894736842,-0.31559210526315695
no02,533967_00285_11494_0,1430,14:30,0.0,0.0,0.0
no02,533967_00285_11494_0,1445,14:45,34.5135,35.463,0.9495000000000005
no02,533967_00285_11494_0,1500,15:00,72.99249999999999,76.963,3.9705000000000013
no02,533967_00285_11494_0,1515,15:15,37.0985,35.8545,-1.2439999999999998
no02,533967_00285_11494_0,1530,15:30,19.854,14.999,-4.854999999999999
no02,533967_00285_11494_0,1545,15:45,70.86699999999999,74.2125,3.3455000000000155
no02,533967_00285_11494_0,1600,16:00,99.308,96.101,-3.207000000000008
no02,533967_00285_11494_0,1615,16:15,41.05,43.556,2.5060000000000002
no02,533967_00285_11494_0,1630,16:30,68.399,68.217,-0.18200000000000216
no02,533967_00285_11494_0,1645,16:45,32.058499999999995,31.354000000000003,-0.7044999999999924
no02,533967_00285_11494_0,1700,17:00,70.6005,70.90299999999999,0.3024999999999949
no02,533967_00285_11494_0,1715,17:15,115.912,116.66100000000002,0.7490000000000094
no02,533967_00285_11494_0,1730,17:30,214.6275,216.906,2.278500000000008
no02,533967_00285_11494_0,1745,17:45,115.022,114.7145,-0.30750000000000455
