route_id,start_speed,end_speed,n_speeds,all_common_count,exists_common,observed_n_speeds_in_results_final,TTT_min_in_interval,TTT_max_in_interval,TTT_range,ttt_const_threshold,ttt_const_flag,common_flag,both_flag,interval_type
331,32.5,45,6,975,1,6,150.6666666666664,176.3076923,25.641025641025607,0,0,1,0,common_optimal
331,47.5,50,2,2,1,2,132,141.4736842,9.473684210525988,0,0,1,0,common_optimal
331,20,20,1,23125,1,1,257.9999999999994,257.9999999999994,0,0,1,1,1,ttt_constant
331,22.5,22.5,1,15521,1,1,219.9999999999993,219.9999999999993,0,0,1,1,1,ttt_constant
331,25,30,3,231,1,3,180,180,0,0,1,1,1,ttt_constant
331,32.5,32.5,1,1833,1,1,176.3076923,176.3076923,0,0,1,1,1,ttt_constant
331,35,35,1,7011,1,1,169.7142857142854,169.7142857142854,0,0,1,1,1,ttt_constant
331,37.5,37.5,1,11063,1,1,163.9999999999996,163.9999999999996,0,0,1,1,1,ttt_constant
331,40,40,1,15147,1,1,158.9999999999997,158.9999999999997,0,0,1,1,1,ttt_constant
331,42.5,42.5,1,18879,1,1,154.5882352941171,154.5882352941171,0,0,1,1,1,ttt_constant
331,45,45,1,21875,1,1,150.6666666666664,150.6666666666664,0,0,1,1,1,ttt_constant
331,47.5,47.5,1,330,1,1,141.4736842,141.4736842,0,0,1,1,1,ttt_constant
331,50,50,1,2,1,1,132,132,0,0,1,1,1,ttt_constant
332,20,20,1,1085,1,1,299.9999999999998,299.9999999999998,0,0,1,1,1,both
332,22.5,22.5,1,330,1,1,294.6666666666663,294.6666666666663,0,0,1,1,1,both
332,25,25,1,16212,1,1,263.9999999999994,263.9999999999994,0,0,1,1,1,both
332,27.5,27.5,1,18237,1,1,234.5454545454543,234.5454545454543,0,0,1,1,1,both
332,30,30,1,2101,1,1,199.9999999999998,199.9999999999998,0,0,1,1,1,both
332,32.5,32.5,1,273,1,1,180,180,0,0,1,1,1,both
332,35,37.5,2,6699,1,2,179.9999999999998,179.9999999999998,0,0,1,1,1,both
332,40,40,1,861,1,1,167.9999999999998,167.9999999999998,0,0,1,1,1,both
332,42.5,42.5,1,651,1,1,157.4117647058818,157.4117647058818,0,0,1,1,1,both
332,45,45,1,975,1,1,150.6666666666663,150.6666666666663,0,0,1,1,1,both
332,47.5,47.5,1,2737,1,1,147.1578947368418,147.1578947368418,0,0,1,1,1,both
332,50,50,1,4851,1,1,143.9999999999997,143.9999999999997,0,0,1,1,1,both
332,20,20,1,1085,1,1,299.9999999999998,299.9999999999998,0,0,1,1,1,common_optimal
332,22.5,22.5,1,330,1,1,294.6666666666663,294.6666666666663,0,0,1,1,1,common_optimal
332,25,27.5,2,882,1,2,234.5454545454543,263.9999999999994,29.45454545454507,0,0,1,0,common_optimal
332,27.5,37.5,5,235,1,5,179.9999999999998,234.5454545454543,54.545454545454504,0,0,1,0,common_optimal
332,40,50,5,189,1,5,143.9999999999997,167.9999999999998,24.000000000000114,0,0,1,0,common_optimal
332,20,20,1,1085,1,1,299.9999999999998,299.9999999999998,0,0,1,1,1,ttt_constant
332,22.5,22.5,1,330,1,1,294.6666666666663,294.6666666666663,0,0,1,1,1,ttt_constant
332,25,25,1,16212,1,1,263.9999999999994,263.9999999999994,0,0,1,1,1,ttt_constant
332,27.5,27.5,1,18237,1,1,234.5454545454543,234.5454545454543,0,0,1,1,1,ttt_constant
332,30,30,1,2101,1,1,199.9999999999998,199.9999999999998,0,0,1,1,1,ttt_constant
332,32.5,32.5,1,273,1,1,180,180,0,0,1,1,1,ttt_constant
332,35,37.5,2,6699,1,2,179.9999999999998,179.9999999999998,0,0,1,1,1,ttt_constant
332,40,40,1,861,1,1,167.9999999999998,167.9999999999998,0,0,1,1,1,ttt_constant
332,42.5,42.5,1,651,1,1,157.4117647058818,157.4117647058818,0,0,1,1,1,ttt_constant
