x1_s,x2_s,delay_s_per_veh
7.199999999999999,44.4,58.8
7.199999999999999,45.6,57.6
7.199999999999999,46.8,56.4
7.199999999999999,48.0,55.2
7.199999999999999,49.199999999999996,55.2
7.199999999999999,50.4,55.2
7.199999999999999,51.6,55.2
7.199999999999999,52.8,55.2
7.199999999999999,54.0,55.2
7.199999999999999,55.199999999999996,55.2
7.199999999999999,56.4,56.4
7.199999999999999,57.599999999999994,57.6
7.199999999999999,58.8,58.8
7.199999999999999,60.0,60.0
7.199999999999999,61.199999999999996,61.2
7.199999999999999,62.4,62.4
7.199999999999999,63.599999999999994,63.6
7.199999999999999,64.8,64.8
7.199999999999999,66.0,66.0
7.199999999999999,67.2,67.2
7.199999999999999,68.39999999999999,68.4
7.199999999999999,69.6,69.6
7.199999999999999,70.8,70.8
7.199999999999999,72.0,72.0
7.199999999999999,73.2,72.0
7.199999999999999,74.39999999999999,72.0
7.199999999999999,75.6,72.0
7.199999999999999,76.8,72.0
7.199999999999999,78.0,72.0
7.199999999999999,79.2,72.0
7.199999999999999,80.39999999999999,70.8
7.199999999999999,81.6,69.6
7.199999999999999,82.8,68.4
7.199999999999999,84.0,67.2
7.199999999999999,85.2,66.0
7.199999999999999,86.39999999999999,64.8
7.199999999999999,87.6,63.6
7.199999999999999,88.8,62.4
7.199999999999999,90.0,61.2
7.199999999999999,91.2,61.2
7.199999999999999,92.39999999999999,62.4
7.199999999999999,93.6,63.6
7.199999999999999,94.8,64.8
7.199999999999999,96.0,66.0
7.199999999999999,97.2,67.2
7.199999999999999,98.39999999999999,68.4
7.199999999999999,99.6,69.6
7.199999999999999,100.8,70.8
7.199999999999999,102.0,72.0
7.199999999999999,103.2,72.0
7.199999999999999,104.39999999999999,72.0
7.199999999999999,105.6,72.0
7.199999999999999,106.8,72.0
7.199999999999999,108.0,72.0
7.199999999999999,109.2,72.0
7.199999999999999,110.39999999999999,72.0
7.199999999999999,111.6,72.0
7.199999999999999,112.8,72.0
7.199999999999999,114.0,72.0
7.199999999999999,115.19999999999999,70.8
7.199999999999999,116.39999999999999,69.6
7.199999999999999,117.6,68.4
7.199999999999999,118.8,67.2
8.4,0.0,66.0
8.4,1.2,64.8
8.4,2.4,63.6
8.4,3.5999999999999996,62.4
8.4,4.8,61.2
8.4,6.0,60.0
8.4,7.199999999999999,60.0
8.4,8.4,60.0
8.4,9.6,60.0
8.4,10.799999999999999,60.0
8.4,12.0,60.0
8.4,13.2,60.0
8.4,14.399999999999999,60.0
8.4,15.6,60.0
8.4,16.8,60.0
8.4,18.0,60.0
8.4,19.2,60.0
8.4,20.4,60.0
8.4,21.599999999999998,60.0
8.4,22.8,60.0
8.4,24.0,60.0
8.4,25.2,60.0
8.4,26.4,60.0
8.4,27.599999999999998,60.0
8.4,28.799999999999997,60.0
8.4,30.0,60.0
8.4,31.2,60.0
8.4,32.4,60.0
8.4,33.6,60.0
8.4,34.8,60.0
8.4,36.0,60.0
8.4,37.199999999999996,60.0
8.4,38.4,60.0
8.4,39.6,60.0
8.4,40.8,60.0
8.4,42.0,60.0
8.4,43.199999999999996,60.0
8.4,44.4,60.0
8.4,45.6,58.8
8.4,46.8,57.6
8.4,48.0,56.4
8.4,49.199999999999996,56.4
8.4,50.4,56.4
8.4,51.6,56.4
8.4,52.8,56.4
8.4,54.0,56.4
8.4,55.199999999999996,56.4
8.4,56.4,56.4
8.4,57.599999999999994,57.6
8.4,58.8,58.8
8.4,60.0,60.0
8.4,61.199999999999996,61.2
8.4,62.4,62.4
8.4,63.599999999999994,63.6
8.4,64.8,64.8
8.4,66.0,66.0
8.4,67.2,67.2
8.4,68.39999999999999,68.4
8.4,69.6,69.6
8.4,70.8,70.8
8.4,72.0,72.0
8.4,73.2,72.0
8.4,74.39999999999999,72.0
8.4,75.6,72.0
8.4,76.8,72.0
8.4,78.0,72.0
8.4,79.2,72.0
8.4,80.39999999999999,72.0
8.4,81.6,70.8
8.4,82.8,69.6
8.4,84.0,68.4
8.4,85.2,67.2
8.4,86.39999999999999,66.0
8.4,87.6,64.8
8.4,88.8,63.6
8.4,90.0,62.4
8.4,91.2,62.4
8.4,92.39999999999999,62.4
8.4,93.6,63.6
8.4,94.8,64.8
8.4,96.0,66.0
8.4,97.2,67.2
8.4,98.39999999999999,68.4
8.4,99.6,69.6
8.4,100.8,70.8
8.4,102.0,72.0
8.4,103.2,72.0
8.4,104.39999999999999,72.0
8.4,105.6,72.0
8.4,106.8,72.0
8.4,108.0,72.0
8.4,109.2,72.0
8.4,110.39999999999999,72.0
8.4,111.6,72.0
8.4,112.8,72.0
8.4,114.0,72.0
8.4,115.19999999999999,70.8
8.4,116.39999999999999,69.6
8.4,117.6,68.4
8.4,118.8,67.2
9.6,0.0,66.0
9.6,1.2,64.8
9.6,2.4,63.6
9.6,3.5999999999999996,62.4
9.6,4.8,61.2
9.6,6.0,60.0
9.6,7.199999999999999,60.0
9.6,8.4,60.0
9.6,9.6,60.0
9.6,10.799999999999999,60.0
9.6,12.0,60.0
9.6,13.2,60.0
9.6,14.399999999999999,60.0
9.6,15.6,60.0
9.6,16.8,60.0
9.6,18.0,60.0
9.6,19.2,60.0
9.6,20.4,60.0
9.6,21.599999999999998,60.0
9.6,22.8,60.0
9.6,24.0,60.0
9.6,25.2,60.0
9.6,26.4,60.0
9.6,27.599999999999998,60.0
9.6,28.799999999999997,60.0
9.6,30.0,60.0
9.6,31.2,60.0
9.6,32.4,60.0
9.6,33.6,60.0
9.6,34.8,60.0
9.6,36.0,60.0
9.6,37.199999999999996,60.0
9.6,38.4,60.0
9.6,39.6,60.0
9.6,40.8,60.0
9.6,42.0,60.0
9.6,43.199999999999996,60.0
9.6,44.4,60.0
9.6,45.6,60.0
9.6,46.8,58.8
9.6,48.0,57.6
9.6,49.199999999999996,57.6
9.6,50.4,57.6
9.6,51.6,57.6
9.6,52.8,57.6
9.6,54.0,57.6
9.6,55.199999999999996,57.6
9.6,56.4,57.6
9.6,57.599999999999994,57.6
9.6,58.8,58.8
9.6,60.0,60.0
9.6,61.199999999999996,61.2
9.6,62.4,62.4
9.6,63.599999999999994,63.6
9.6,64.8,64.8
9.6,66.0,66.0
9.6,67.2,67.2
9.6,68.39999999999999,68.4
9.6,69.6,69.6
9.6,70.8,70.8
9.6,72.0,72.0
9.6,73.2,72.0
9.6,74.39999999999999,72.0
9.6,75.6,72.0
9.6,76.8,72.0
9.6,78.0,72.0
9.6,79.2,72.0
9.6,80.39999999999999,72.0
9.6,81.6,72.0
9.6,82.8,70.8
9.6,84.0,69.6
9.6,85.2,68.4
9.6,86.39999999999999,67.2
9.6,87.6,66.0
9.6,88.8,64.8
9.6,90.0,63.6
9.6,91.2,63.6
9.6,92.39999999999999,63.6
9.6,93.6,63.6
9.6,94.8,64.8
9.6,96.0,66.0
9.6,97.2,67.2
9.6,98.39999999999999,68.4
9.6,99.6,69.6
9.6,100.8,70.8
9.6,102.0,72.0
9.6,103.2,72.0
9.6,104.39999999999999,72.0
9.6,105.6,72.0
9.6,106.8,72.0
9.6,108.0,72.0
9.6,109.2,72.0
9.6,110.39999999999999,72.0
9.6,111.6,72.0
9.6,112.8,72.0
9.6,114.0,72.0
9.6,115.19999999999999,70.8
9.6,116.39999999999999,69.6
9.6,117.6,68.4
9.6,118.8,67.2
10.799999999999999,0.0,66.0
10.799999999999999,1.2,64.8
10.799999999999999,2.4,63.6
10.799999999999999,3.5999999999999996,62.4
10.799999999999999,4.8,61.2
10.799999999999999,6.0,60.0
10.799999999999999,7.199999999999999,60.0
10.799999999999999,8.4,60.0
10.799999999999999,9.6,60.0
10.799999999999999,10.799999999999999,60.0
10.799999999999999,12.0,60.0
10.799999999999999,13.2,60.0
10.799999999999999,14.399999999999999,60.0
10.799999999999999,15.6,60.0
10.799999999999999,16.8,60.0
10.799999999999999,18.0,60.0
10.799999999999999,19.2,60.0
10.799999999999999,20.4,60.0
10.799999999999999,21.599999999999998,60.0
10.799999999999999,22.8,60.0
10.799999999999999,24.0,60.0
10.799999999999999,25.2,60.0
10.799999999999999,26.4,60.0
10.799999999999999,27.599999999999998,60.0
10.799999999999999,28.799999999999997,60.0
10.799999999999999,30.0,60.0
10.799999999999999,31.2,60.0
10.799999999999999,32.4,60.0
10.799999999999999,33.6,60.0
10.799999999999999,34.8,60.0
10.799999999999999,36.0,60.0
10.799999999999999,37.199999999999996,60.0
10.799999999999999,38.4,60.0
10.799999999999999,39.6,60.0
10.799999999999999,40.8,60.0
10.799999999999999,42.0,60.0
10.799999999999999,43.199999999999996,60.0
10.799999999999999,44.4,60.0
10.799999999999999,45.6,60.0
10.799999999999999,46.8,60.0
10.799999999999999,48.0,58.8
10.799999999999999,49.199999999999996,58.8
10.799999999999999,50.4,58.8
10.799999999999999,51.6,58.8
10.799999999999999,52.8,58.8
10.799999999999999,54.0,58.8
10.799999999999999,55.199999999999996,58.8
10.799999999999999,56.4,58.8
10.799999999999999,57.599999999999994,58.8
10.799999999999999,58.8,58.8
10.799999999999999,60.0,60.0
10.799999999999999,61.199999999999996,61.2
10.799999999999999,62.4,62.4
10.799999999999999,63.599999999999994,63.6
10.799999999999999,64.8,64.8
10.799999999999999,66.0,66.0
10.799999999999999,67.2,67.2
10.799999999999999,68.39999999999999,68.4
10.799999999999999,69.6,69.6
10.799999999999999,70.8,70.8
10.799999999999999,72.0,72.0
10.799999999999999,73.2,72.0
10.799999999999999,74.39999999999999,72.0
10.799999999999999,75.6,72.0
10.799999999999999,76.8,72.0
10.799999999999999,78.0,72.0
10.799999999999999,79.2,72.0
10.799999999999999,80.39999999999999,72.0
10.799999999999999,81.6,72.0
10.799999999999999,82.8,72.0
10.799999999999999,84.0,70.8
10.799999999999999,85.2,69.6
10.799999999999999,86.39999999999999,68.4
10.799999999999999,87.6,67.2
10.799999999999999,88.8,66.0
10.799999999999999,90.0,64.8
10.799999999999999,91.2,64.8
10.799999999999999,92.39999999999999,64.8
